iter	RMSE
0	535.4029939
1	496.2039958
2	461.2338949
3	428.6686462
4	399.9060917
5	372.5477958
6	347.9116075
7	325.5855648
8	305.9197149
9	287.2493759
10	271.2440489
11	256.4641784
12	241.8770718
13	229.2660766
14	217.67343
15	206.9310289
16	196.9836886
17	187.7881402
18	179.5913499
19	171.879348
20	164.7295656
21	157.7352257
22	151.9354478
23	146.0847626
24	140.9541063
25	135.9552469
26	131.6902439
27	127.3606332
28	123.5165441
29	119.8385484
30	116.4072455
31	113.1028979
32	110.009916
33	107.4585633
34	105.0929906
35	102.5208235
36	100.081683
37	97.79772816
38	95.59789509
39	93.93198501
40	91.93655398
41	90.11664384
42	88.50661687
43	87.23379044
44	85.67058749
45	84.25990747
46	82.97556029
47	81.71845096
48	80.58705381
49	79.26931273
50	78.11870074
51	77.08685699
52	75.95843439
53	75.03733053
54	74.19360693
55	73.24765722
56	72.56948576
57	71.55869704
58	70.85766852
59	70.07562628
60	69.5305829
61	68.72657061
62	68.13205401
63	67.68136063
64	67.08545373
65	66.67102962
66	66.14919677
67	65.75388889
68	65.22552104
69	64.8316301
70	64.47623555
71	64.04434337
72	63.61155905
73	63.21390118
74	62.86027596
75	62.43562958
76	62.20601061
77	61.84582439
78	61.51062697
79	61.20061744
80	61.00475355
81	60.74772739
82	60.40178071
83	60.16557746
84	59.90253358
85	59.75131434
86	59.53917214
87	59.28439543
88	59.05271043
89	58.77737795
90	58.56067889
91	58.39068034
92	58.16649876
93	57.96353757
94	57.74250279
95	57.54882488
96	57.41182619
97	57.21344734
98	57.0857202
99	56.92076567
