iter	Passed	Remaining
0	122	12140
1	126	6193
2	130	4205
3	133	3211
4	137	2613
5	141	2209
6	144	1919
7	148	1702
8	151	1531
9	154	1394
10	158	1282
11	161	1186
12	165	1105
13	168	1036
14	172	976
15	175	922
16	179	874
17	182	831
18	185	792
19	189	756
20	192	723
21	195	694
22	199	666
23	202	641
24	205	617
25	209	596
26	212	575
27	216	556
28	219	538
29	223	521
30	227	505
31	230	489
32	233	475
33	237	461
34	240	447
35	244	434
36	247	421
37	251	409
38	254	397
39	257	386
40	261	376
41	264	365
42	268	355
43	271	345
44	274	335
45	278	326
46	281	317
47	284	308
48	287	299
49	291	291
50	294	282
51	297	275
52	301	267
53	304	259
54	308	252
55	311	244
56	314	237
57	318	230
58	321	223
59	325	216
60	328	210
61	331	203
62	335	197
63	338	190
64	341	184
65	345	177
66	348	171
67	352	165
68	355	159
69	358	153
70	362	148
71	366	142
72	369	136
73	372	130
74	376	125
75	379	119
76	383	114
77	386	109
78	390	103
79	393	98
80	396	93
81	400	87
82	404	82
83	407	77
84	411	72
85	414	67
86	417	62
87	421	57
88	424	52
89	427	47
90	431	42
91	434	37
92	438	32
93	441	28
94	445	23
95	448	18
96	452	13
97	455	9
98	459	4
99	462	0
