iter	RMSE
0	543.8633103
1	512.3277706
2	485.4766107
3	462.2266335
4	442.0265581
5	424.1976409
6	408.2792654
7	394.670452
8	383.1883445
9	373.3952642
10	364.801221
11	357.7711434
12	351.6374932
13	346.4090195
14	342.1595086
15	338.0688799
16	334.6038256
17	331.7508021
18	329.4363607
19	327.4712617
20	325.6822863
21	324.2145067
22	322.834606
23	321.7043559
24	320.7661268
25	319.9905465
26	319.2306489
27	318.6822956
28	318.098797
29	317.5702091
30	316.9894474
31	316.5460975
32	316.1773469
33	315.8132728
34	315.5595935
35	315.2840352
36	315.0329993
37	314.6781678
38	314.4115682
39	314.2458131
40	314.111144
41	313.9818778
42	313.8737476
43	313.7268084
44	313.5397703
45	313.4137685
46	313.2323535
47	313.1096061
48	313.0473406
49	312.9660843
50	312.8209246
51	312.7458724
52	312.6661056
53	312.6586623
54	312.5624654
55	312.5026529
56	312.4548125
57	312.3966549
58	312.3497411
59	312.2805944
60	312.1429774
61	312.0771035
62	312.0323446
63	311.9558368
64	311.866426
65	311.7690248
66	311.7168536
67	311.6784199
68	311.6376188
69	311.5700636
70	311.5277866
71	311.5045278
72	311.4455421
73	311.4104477
74	311.3612762
75	311.3208268
76	311.2516143
77	311.2047691
78	311.1055385
79	311.0795553
80	311.0322269
81	310.9988765
82	310.9782837
83	310.9407946
84	310.8922749
85	310.8573058
86	310.8363067
87	310.805711
88	310.7782197
89	310.7218773
90	310.7060891
91	310.6815704
92	310.6673709
93	310.6304326
94	310.6150081
95	310.5703957
96	310.5457579
97	310.5067751
98	310.4806626
99	310.4575949
