iter	Passed	Remaining
0	138	13662
1	148	7282
2	158	5135
3	167	4025
4	176	3358
5	183	2879
6	189	2513
7	193	2225
8	197	1998
9	200	1808
10	204	1653
11	207	1522
12	210	1410
13	214	1315
14	217	1231
15	220	1159
16	224	1095
17	227	1037
18	231	985
19	234	938
20	237	895
21	241	854
22	244	818
23	247	784
24	250	752
25	254	723
26	257	696
27	260	670
28	263	646
29	267	623
30	270	602
31	274	582
32	277	563
33	280	544
34	283	527
35	287	510
36	290	494
37	293	478
38	296	464
39	299	449
40	303	436
41	306	423
42	309	410
43	312	398
44	315	386
45	319	374
46	322	363
47	325	352
48	328	342
49	332	332
50	335	322
51	338	312
52	341	302
53	343	292
54	347	283
55	350	275
56	353	267
57	357	258
58	361	250
59	364	243
60	368	235
61	372	228
62	375	220
63	378	213
64	382	205
65	385	198
66	389	191
67	392	184
68	395	177
69	398	170
70	402	164
71	405	157
72	408	151
73	411	144
74	414	138
75	418	132
76	421	125
77	424	119
78	428	113
79	431	107
80	434	101
81	438	96
82	441	90
83	444	84
84	448	79
85	451	73
86	454	67
87	457	62
88	461	57
89	464	51
90	467	46
91	471	40
92	474	35
93	478	30
94	481	25
95	484	20
96	487	15
97	491	10
98	494	4
99	497	0
